Open_Recalls,Recall_status,Name_of_Recall,Campaign_NHTSA,Date_of_recall_announcement,Brief_Description,Safety_Risk,Remedy,Vim_ID,Time_Stamp
Yes,incomplete,Front Passenger Airbag Takata Inflator – Priority Group 6,21V050,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles.  The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,1GNFC13017R336238,2023-03-06 23:48:09.495694
No,,,,,,,,2GNAXKEV5M6101913,2023-03-06 23:48:09.503066
No,,,,,,,,1g1yy33p4n5112793,2023-03-06 23:48:09.504144
Yes,complete,HEATED WINDSHIELD WASHER MODULE SHORT CIRCUIT - DISABLE AND REMOVE MODULE,10V240,2010-06-04,"GM is recalling certain model year 2006-2009 Buick Lucerne; Cadillac DTS; Hummer H2; model year 2008-2009 Buick Enclave; Cadillac CTS; model year 2007-2009 Cadillac Escalade, Escalade ESV, Escalade EXT; Chevrolet Avalanche, Silverado, Suburban, Tahoe; GMC Acadia, Sierra, Yukon, Yukon XL; Saturn Outlook; and model year 2009 Chevrolet Traverse vehicles equipped with a heated washer fluid system (HWFS).  A recall was implemented in 2008 to add a fuse to the control circuit harness to address the potential consequences of a printed circuit board (PCB) electrical short.  However, there have been new reports of thermal incidents on HWFS modules after this improvement was installed.  These incidents resulted from a new failure mode attributed to the device's thermal protection feature.  The significance varies from minor distortion to considerable melting of the plastic around the HWFS fluid chamber.",It is possible for the heated washer module to ignite and a fire may occur.,Dealers will permanently disable and remove the heated washer fluid module free of charge.  An updated page for the owner manual will be provided and inserted in the owner manual to document that the feature has been permanently disabled and removed from the vehicle.,1GNFC13017R336238,2023-03-06 23:48:09.500312
Yes,incomplete,Wiper Transmission Arm Linkage Failure,,2019-12-17,"Some 2010-2017 model year Equinox or Terrain vehicles may have a condition where a link ball socket in the Front wiper transmission may separate. If this were to occur, the driver would experience a sudden loss of Front wiper function.
	
This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Dealers are to replace the front wiper module with the latest version with improved sockets and a new water shield.  The repairs will be made at no charge to the customer.,1GNALCEK5FZ137163,2023-03-06 23:48:09.499632
Yes,incomplete,Windshield Wiper Failure,22V165,2022-10-04,"General Motors has decided that a defect, which relates to motor vehicle safety, exists in certain 2014-2015 model year Chevrolet Equinox and GMC Terrain vehicles.  The ball joints in the windshield wiper modules of these vehicles may experience high corrosion and wear that could result in the separation of one or more ball joints from their sockets during wiper operation.  If a ball joint were to separate, one or both of the windshield wipers could become inoperative.","If one or both of the windshield wipers become inoperative, it could limit the driver’s visibility under certain operating conditions, which may increase the risk of a crash.",Dealers will inspect the wiper module and repair or replace as necessary.,1GNALCEK5FZ137163,2023-03-06 23:48:09.511380
Yes,complete,HEATED WINDSHIELD WASHER MODULE SHORT CIRCUIT - ADD WIRE HARNESS,,2008-08-26,,,,1GNFC13017R336238,2023-03-06 23:48:09.510297
No,,,,,,,,1gnscckj9lr106753,2023-03-06 23:48:09.491260
Yes,incomplete,UNINTENDED IGNITION KEY ROTATION,14V400,2014-07-03,"General Motors has decided that a defect which relates to motor vehicle safety exists in 2000-2005 MY Chevrolet Impala and Monte Carlo, 1997-2003 MY Chevrolet Malibu, 2004-2005 MY Chevrolet Malibu Classic, 1999-2004 MY Oldsmobile Alero, 1998-2002 MY Oldsmobile Intrigue, 1999-2005 MY Pontiac Grand Am, and 2004-2008 MY Pontiac Grand Prix vehicles. If the key ring is carrying added weight and the vehicle goes off road or experiences some other jarring event, it may unintentionally move the key away from the run position. If this occurs, engine power, power steering and power braking may be affected, increasing the risk of a crash.","The timing of the key movement out of the ""run"" position, relative to the activation of the sensing algorithm of the crash event, may result in the airbags not deploying, increasing the potential for occupant injury in certain kinds of crashes. Until the recall has been performed, it is very important that customers remove all items from their key ring, leaving only the vehicle key. The key fob (if applicable), should also be removed from the key ring.","Dealers are to install two key rings and an insert in the key slot or a cover over the key head on all ignition keys, free of charge.",1G1ND52J92M633713,2023-03-06 23:48:09.604240
Yes,complete,SECOND ROW CENTER SAFETY BELT,05V163,2005-04-22,"On certain crew cab pickup trucks and sport utility vehicles, the 2nd row center occupant seat belt routing may make it difficult to position the lap portion of the safety belt low around the hips of occupants, especially smaller occupants, seated in this position.   Appropriate use of a child seat or booster seat, as recommended for small children, does improve the fit condition for this user group.  In addition to instructions on proper infant and young child restraint (with child seats or boosters), special verbiage for restraining older child is included in the owner's manual.  Also, the suggested seat belt fit/routing for adults, irrespective of seating position, is described in the owner's manual text.","A lap portion of the seat belt routing that is not low and snug on the hips can allow the lap belt to ride up on an occupant's abdomen instead of fitting low around their hipbones, and therefore, can expose them to more risk of abdominal and internal organ injury.","Dealers will cut open the guide loop, remove a portion of the loop, and then the remaining two sides should be folded over and secured with a retainer free of charge.",3GNGK26G33G219048,2023-03-06 23:48:09.624488
