vim_id,cspCount,name_of_description,fsa_number,time_stamp
1FMZU74E02UB80534,,,,2023-03-06 23:51:09.258813
1FMPU16L13LA35039,,,,2023-03-06 23:51:09.252677
3FMTK4SE8MME00569,,,,2023-03-06 23:51:09.301764
1ZVFT80N755166258,,,,2023-03-06 23:51:09.362146
1FADP3L97EL395766,,,,2023-03-06 23:51:09.388991
1FMYU01191KB81891,,,,2023-03-06 23:51:09.627222
1FATP8FF9L5161270,2,REAR TOE LINK REPLACEMENT,21R01,2023-03-06 23:51:09.651361
1FTMF1CB1JKF05070,2,REAR TOE LINK REPLACEMENT,21R01,2023-03-06 23:51:09.649741
1ZVHT82H295101534,1,TRANSMISSION CONTROL MODULE EXTENDED WARRANTY COVERAGE,14M02,2023-03-06 23:51:09.659483
1FTMF1CB1JKF05070,2,FRONT DOOR TRIM PANEL REPAIR,17N04,2023-03-06 23:51:09.666082
1FATP8FF9L5161270,2,FRONT DOOR TRIM PANEL REPAIR,17N04,2023-03-06 23:51:09.656310
1FM5K8GT8FGC40469,1,TRANSMISSION CONTROL MODULE EXTENDED WARRANTY COVERAGE,14M02,2023-03-06 23:51:09.672721
1FM5K8GT2KGB27773,1,TRANSMISSION CONTROL MODULE EXTENDED WARRANTY COVERAGE,14M02,2023-03-06 23:51:09.662765
1FADP3F26DL208773,1,TRANSMISSION CONTROL MODULE EXTENDED WARRANTY COVERAGE,14M02,2023-03-06 23:51:09.679808
1FTPW14V89FA61292,2,POWER DOOR LOCK ACTUATOR FAILURE,20M04,2023-03-06 23:51:11.102501
1FTFW1E53JKC57565,2,POWER DOOR LOCK ACTUATOR FAILURE,20M04,2023-03-06 23:51:11.106265
1FTPW14V88FB24423,2,POWER DOOR LOCK ACTUATOR FAILURE,20M04,2023-03-06 23:51:11.097163
1FTPW14V89FA61292,2,DOOR LATCH FREEZING CONCERNS,18N03,2023-03-06 23:51:11.104849
1FTFW1E53JKC57565,2,DOOR LATCH FREEZING CONCERNS,18N03,2023-03-06 23:51:11.110066
1FMZU73K94ZA16003,,,,2023-03-06 23:51:11.091341
1FTPW14V88FB24423,2,DOOR LATCH FREEZING CONCERNS,18N03,2023-03-06 23:51:11.115836
1ZVBP8AM3C5270106,1,MOLDED LEADFRAME EXTENDED COVERAGE,16N02,2023-03-06 23:51:11.125603
1fabp44a3hf230189,,,,2023-03-06 23:51:11.377694
1FMDU34X7PUB64679,,,,2023-03-06 23:51:11.380882
1FMJU1HT3FEF49860,,,,2023-03-06 23:51:11.379637
1FA6P8CF8J5179869,,,,2023-03-06 23:51:11.389899
1FAHP3GNXBW101327,,,,2023-03-06 23:51:11.386800
1FMDU34X2TZB79300,,,,2023-03-06 23:51:11.416555
1FMZU65WX4UB78441,,,,2023-03-06 23:51:11.411931
1FAFP40433F329671,,,,2023-03-06 23:51:12.898595
1ftpx12524nb72614,,,,2023-03-06 23:51:12.926040
1FMCU9GD7HUC54920,,,,2023-03-06 23:51:12.923793
