Open_Recalls,Recall_status,Name_of_Recall,Campaign_NHTSA,Date_of_recall_announcement,Brief_Description,Safety_Risk,Remedy,Vim_ID,Time_Stamp
No,,,,,,,,1FMPU16L13LA35039,2023-03-06 23:51:09.249604
No,,,,,,,,1FMZU74E02UB80534,2023-03-06 23:51:09.256511
No,,,,,,,,3FMTK4SE8MME00569,2023-03-06 23:51:09.299268
No,,,,,,,,1ZVFT80N755166258,2023-03-06 23:51:09.359394
Yes,Incomplete,DOOR LATCH REPEAT REPAIR,20V331,2020-06-08,"YOUR VEHICLE WAS PREVIOUSLY REPAIRED UNDER SAFETY RECALL 15S16 OR 16S30. DURING THAT REPAIR, YOUR VEHICLES DOOR LATCHES WERE TO BE REPLACED TO HELP REDUCE THE RISK OF DOORS NOT CLOSING OR DOORS OPENING WHILE DRIVING. IT IS POSSIBLE THAT ONE OR MORE OF YOUR DOOR LATCHES WAS NOT REPLACED OR MAY NOT HAVE BEEN REPLACED CORRECTLY.","IF A DOOR LATCH WAS NOT REPLACED, THERE IS STILL A RISK THAT THE PAWL SPRING TAB INSIDE THE DOOR LATCH COULD BREAK. THIS CONDITION WILL TYPICALLY PREVENT THE DOOR FROM LATCHING. IN CERTAIN SITUATIONS, WHERE THE DOOR IS ABLE TO BE CLOSED, THE DOOR MAY UNLATCH WHILE DRIVING, INCREASING THE RISK OF INJURY","THE DOOR LATCH DATE CODES IN YOUR VEHICLE NEED TO BE INSPECTED TO VERIFY THAT THE PREVIOUS DOOR LATCH RECALL REPAIR WAS COMPLETED AS INTENDED. FOR YOUR CONVENIENCE AND TO ENCOURAGE THE CONTINUED SOCIAL DISTANCING REQUIREMENTS BY MANY STATE AND LOCAL GOVERNMENTS RELATED TO COVID-19, FORD IS PROVIDING YOU WITH THE OPTION TO COMPLETE THIS SIMPLE INSPECTION YOURSELF USING THE ATTACHED SELF-INSPECTION SHEET. BY UTILIZING THIS OPTION, YOU SHOULD NOT NEED TO TAKE YOUR VEHICLE TO YOUR DEALER UNLESS YOUR VEHICLE IS EXHIBITING DOOR LATCHING CONCERNS DOOR WILL NOT LATCH OR OPENS WHILE DRIVING. IN THE UNLIKELY EVENT THAT THE SYSTEM CANNOT CONFIRM THE LATCHES ON YOUR VEHICLE BASED ON YOUR INPUT, OR IF YOUR VEHICLE IS EXHIBITING DOOR LATCHING CONCERNS, YOU WILL NEED TO TAKE YOUR VEHICLE TO YOUR DEALERSHIP FOR ADDITIONAL INSPECTION AND/OR REPAIRS. IF YOU DO NOT WISH TO COMPLETE THIS INSPECTION YOURSELF, YOUR DEALER WILL INSPECT YOUR VEHICLE FOR YOU",1FADP3L97EL395766,2023-03-06 23:51:09.384181
Yes,Incomplete,FUEL TANK DEFORMATION,18V735,2018-10-22,"ON YOUR VEHICLE, THE PCM SOFTWARE MAY NOT ADEQUATELY DETECT A STUCK-OPEN CANISTER PURGE VALVE (CPV) WITHIN THE FUEL VAPOR SYSTEM. IF THE CPV MALFUNCTIONS AND STICKS OPEN, IT CAN LEAD TO EXCESSIVE VACUUM IN THE FUEL VAPOR SYSTEM, POTENTIALLY DEFORMING THE PLASTIC FUEL TANK. THIS CAN CAUSE THE FOLLOWING SYMPTOMS: ILLUMINATED MALFUNCTION INDICATOR LAMP (MIL) WITH CERTAIN DIAGNOSTIC TROUBLE CODES (DTCS) INACCURATE OR ERRATIC FUEL GAUGE INDICATION INACCURATE DISTANCE TO EMPTY (DTE) ENGINE STALL AND/OR OTHER DRIVABILITY CONCERNS RELATED TO STUCK OPEN CPV","THIS MAY RESULT IN AN ENGINE STALL WHILE DRIVING WITHOUT WARNING OR WITHOUT THE ABILITY TO RESTART, AND CAN INCREASE THE RISK OF A CRASH.","PARTS AND SOFTWARE ARE NOW AVAILABLE TO REPAIR YOUR VEHICLE. FORD MOTOR COMPANY HAS AUTHORIZED YOUR DEALER TO UPDATE YOUR VEHICLE S PCM SOFTWARE, CHECK FOR DTCS OR OTHER EVIDENCE OF A LEAKING CPV, AND PERFORM ANY ADDITIONAL REQUIRED REPAIRS AS REQUIRED, FREE OF CHARGE (PARTS AND LABOR).IF YOU INSTALLED A FORD PERFORMANCE CALIBRATION ON YOUR 2013-2018 FOCUS ST, YOU MUST STILL HAVE THIS SAFETY RECALL PERFORMED. YOU MAY CONTACT FORD PERFORMANCE TO OBTAIN AN UPDATED FORD PERFORMANCE CALIBRATION FOR YOUR VEHICLE AFTER THIS RECALL HAS BEEN COMPLETED.CONTACT THE FORD PERFORMANCE TECHLINE BY CALLING 800-367-3788 OR ONLINE HTTPS://PERFORMANCEPARTS.FORD.COM/CONTACT-US",1FADP3L97EL395766,2023-03-06 23:51:09.386917
No,,,,,,,,1FMYU01191KB81891,2023-03-06 23:51:09.624277
No,,,,,,,,1ZVHT82H295101534,2023-03-06 23:51:09.639033
No,,,,,,,,1FM5K8GT2KGB27773,2023-03-06 23:51:09.645999
No,,,,,,,,1FTMF1CB1JKF05070,2023-03-06 23:51:09.643515
